temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,temperament_1,temperament_2,temperament_3
"Faithful, Noble, Docile",96.0,43.18,55.88,13.6077711,27.2155422,11.0,13.0,Foundation Stock Service,0.2,0.6,0.8,0.4,0.4,Faithful,Noble,Docile
"Loyal, Dignified, Brave",173.0,64.77,69.85,36.2873896,45.359237,10.0,12.0,Working Group,1.0,0.6,0.6,0.4,0.4,Loyal,Dignified,Brave
"Intelligent, Active, Sensitive",96.0,38.1,45.72,9.0718474,15.875732950000002,13.0,15.0,Foundation Stock Service,0.6,0.8,0.6,0.6,0.4,Intelligent,Active,Sensitive
"Loyal, Fearless, Sweet",163.0,66.04,76.2,31.751465900000003,52.16312255,10.0,12.0,Working Group,0.4,0.8,0.6,0.4,0.4,Loyal,Fearless,Sweet
"Friendly, Active, Outgoing",1.0,54.61,62.23,24.947580350000003,36.2873896,10.0,12.0,Sporting Group,0.4,0.8,1.0,1.0,1.0,Friendly,Active,Outgoing
"Affectionate, Keen, Undemanding",99.0,40.64,48.26,10.88621688,15.875732950000002,15.0,17.0,Sporting Group,0.2,0.2,0.6,1.0,0.6,Affectionate,Keen,Undemanding
"Friendly, Confident, Bold",147.0,35.56,38.1,7.71107029,7.71107029,12.0,15.0,Terrier Group,0.4,0.2,0.6,0.6,0.6,Friendly,Confident,Bold
"Affectionate, Versatile, Intelligent",96.0,25.4,30.48,4.082331330000001,7.71107029,12.0,15.0,Miscellaneous Class,0.2,0.6,0.8,0.8,0.8,Affectionate,Versatile,Intelligent
"Friendly, Energetic, Intelligent",96.0,45.72,50.8,31.751465900000003,31.751465900000003,10.0,14.0,Foundation Stock Service,0.4,0.6,0.6,1.0,0.4,Friendly,Energetic,Intelligent
"Friendly, Gentle, Playful",93.0,64.77,80.01,40.8233133,77.1107029,9.0,9.0,Working Group,0.8,0.8,0.6,1.0,0.8,Friendly,Gentle,Playful
"Confident, Smart, Comical",71.0,25.4,27.94,5.4431084400000005,8.164662660000001,12.0,15.0,Non-Sporting Group,0.6,0.2,0.6,0.4,0.4,Confident,Smart,Comical
"Affectionate, Outgoing, Positive",168.0,27.94,33.02,4.535923700000001,6.80388555,15.0,15.0,Non-Sporting Group,0.2,0.2,0.6,0.6,1.0,Affectionate,Outgoing,Positive
"Gentle, Playful, Charming",37.0,17.78,22.86,3.17514659,3.17514659,12.0,15.0,Toy Group,0.8,0.2,0.6,0.6,1.0,Gentle,Playful,Charming
"Spirited, Bright, Keenly Observant",133.0,38.1,40.64,5.4431084400000005,9.97903214,15.0,17.0,Terrier Group,0.4,0.4,0.6,0.8,0.6,Spirited,Bright,Keenly Observant
"Agile, Spirited, Intelligent",133.0,25.4,30.48,5.4431084400000005,5.4431084400000005,15.0,17.0,Toy Group,0.4,0.4,0.6,0.8,0.6,Agile,Spirited,Intelligent
"Courageous, Dignified, Good-Natured",29.0,69.85,76.2,54.4310844,104.3262451,6.0,10.0,Working Group,0.2,0.4,0.6,0.6,0.6,Courageous,Dignified,Good-Natured
"Good-Natured, Intelligent, Devoted",34.0,33.02,45.72,9.0718474,18.1436948,12.0,13.0,Herding Group,0.8,1.0,0.8,1.0,0.8,Good-Natured,Intelligent,Devoted
"Upbeat, Mischievous, Comical",110.0,25.4,35.56,8.164662660000001,12.70058636,11.0,13.0,Terrier Group,0.2,0.4,0.8,0.4,0.6,Upbeat,Mischievous,Comical
"Fearless, Fun-Loving, Proud",70.0,25.4,31.75,3.62873896,4.535923700000001,12.0,16.0,Toy Group,0.2,0.2,0.6,0.4,0.6,Fearless,Fun-Loving,Proud
"Friendly, Smart, Obedient",19.0,30.48,35.56,4.9895160700000005,9.0718474,12.0,15.0,Terrier Group,1.0,0.2,0.6,1.0,0.6,Friendly,Smart,Obedient
"Intelligent, Strong-Willed, Reserved with Strangers",96.0,40.64,66.04,13.6077711,27.2155422,10.0,13.0,Foundation Stock Service,0.2,0.6,1.0,0.2,0.4,Intelligent,Strong-Willed,Reserved with Strangers
"Loyal, Intelligent, Active",96.0,38.1,46.99,8.164662660000001,13.15417873,12.0,14.0,Miscellaneous Class,0.2,0.4,1.0,1.0,0.4,Loyal,Intelligent,Active
"Loyal, Dignified, Watchful",102.0,60.96,78.74,49.895160700000005,68.0388555,7.0,9.0,Working Group,0.4,0.6,0.6,0.2,0.2,Loyal,Dignified,Watchful
"Friendly, Alert, Quick",150.0,35.56,43.18,9.0718474,13.6077711,12.0,15.0,Sporting Group,0.4,0.6,0.6,1.0,0.4,Friendly,Alert,Quick
"Sweet, Patient, Devoted",40.0,66.04,71.12,45.359237,68.0388555,9.0,10.0,Working Group,0.4,0.6,0.6,0.8,0.8,Sweet,Patient,Devoted
"Fearless, Alert, Fun-Loving",126.0,22.86,25.4,4.9895160700000005,5.4431084400000005,12.0,16.0,Terrier Group,0.4,0.6,0.6,0.6,0.8,Fearless,Alert,Fun-Loving
"Fearless, Agile, Attentive",96.0,41.91,45.72,9.0718474,13.6077711,14.0,17.0,Miscellaneous Class,0.4,0.4,0.8,0.8,0.6,Fearless,Agile,Attentive
"Confident, Smart, Perceptive",165.0,40.64,46.99,11.79340162,18.1436948,12.0,15.0,Herding Group,0.4,0.6,0.8,0.8,0.8,Confident,Smart,Perceptive
"Friendly, Confident, Dependable",97.0,49.53,52.07,21.77243376,24.947580350000003,12.0,15.0,Hound Group,0.4,0.6,0.6,0.6,0.8,Friendly,Confident,Dependable
"Loyal, Energetic, Alert",191.0,30.48,38.1,9.0718474,13.6077711,12.0,15.0,Non-Sporting Group,0.4,0.6,0.8,0.6,0.4,Loyal,Energetic,Alert
"Affectionate, Alert, Curious",108.0,25.4,25.4,5.4431084400000005,5.4431084400000005,12.0,15.0,Terrier Group,0.4,0.6,0.8,0.6,0.8,Affectionate,Alert,Curious
"Affectionate, Intelligent, Outgoing",83.0,43.18,53.34,15.875732950000002,22.6796185,12.0,14.0,Sporting Group,0.4,0.6,1.0,0.8,0.8,Affectionate,Intelligent,Outgoing
"Adaptable, Gentle, Smart",72.0,53.34,55.88,27.2155422,45.359237,10.0,12.0,Herding Group,0.6,0.6,0.6,0.4,0.6,Adaptable,Gentle,Smart
"Even-Tempered, Amiable, Boisterous",182.0,60.96,68.58,36.2873896,52.16312255,10.0,13.0,Hound Group,0.4,0.6,0.6,0.2,0.6,Even-Tempered,Amiable,Boisterous
"Friendly, Alert, Happy",54.0,20.32,27.94,2.2679618500000003,4.535923700000001,14.0,16.0,Toy Group,0.4,0.6,0.6,1.0,1.0,Friendly,Alert,Happy
"Friendly, Clever, Athletic",117.0,33.02,35.56,5.8967008100000005,7.71107029,13.0,15.0,Terrier Group,0.4,0.4,1.0,0.6,0.8,Friendly,Clever,Athletic
"Affectionate, Loyal, Regal in Manner",92.0,15.24,22.86,6.35029318,6.35029318,12.0,14.0,Toy Group,0.6,0.6,0.4,0.2,0.4,Affectionate,Loyal,Regal in Manner
"Affectionate, Smart, Alert",13.0,25.4,30.48,12.70058636,13.6077711,12.0,13.0,Herding Group,0.4,0.8,0.8,0.6,1.0,Affectionate,Smart,Alert
"Confident, Calm, Strong-Willed",96.0,55.88,66.04,38.10175908,49.895160700000005,9.0,11.0,Foundation Stock Service,0.2,0.6,0.4,0.6,0.4,Confident,Calm,Strong-Willed
"Affectionate, Loyal, Noble",96.0,24.765,65.405,3.855535145,24.947580350000003,12.0,14.0,Miscellaneous Class,0.2,0.8,0.8,0.6,0.4,Affectionate,Loyal,Noble
"Alert, Happy, Vivacious",156.0,33.02,38.1,11.33980925,18.1436948,12.0,14.0,Hound Group,0.4,0.4,0.8,0.4,0.8,Alert,Happy,Vivacious
"Friendly, Smart, Noble",172.0,53.34,63.5,20.41165665,24.947580350000003,12.0,14.0,Hound Group,0.4,0.6,0.8,0.4,0.4,Friendly,Smart,Noble
"Loyal, Alert, Intelligent",171.0,50.8,63.5,18.1436948,27.2155422,12.0,14.0,Hound Group,0.2,0.4,0.8,0.4,0.6,Loyal,Alert,Intelligent
"Loyal, Hardworking, Even-Tempered",114.0,58.42,71.12,20.41165665,34.01942775,12.0,17.0,Sporting Group,0.4,0.4,0.8,0.6,0.6,Loyal,Hardworking,Even-Tempered
"Confident, Clever, Lively",170.0,43.18,50.8,13.6077711,22.6796185,12.0,14.0,Herding Group,0.8,0.6,0.8,0.2,0.2,Confident,Clever,Lively
"Inquisitive, Bold, Lively",23.0,15.24,17.78,1.36077711,3.17514659,12.0,16.0,Toy Group,0.6,0.6,0.6,0.6,0.6,Inquisitive,Bold,Lively
"Active, Proud, Very Smart",7.0,25.4,38.1,4.535923700000001,6.80388555,10.0,18.0,Non-Sporting Group,0.4,0.6,0.6,0.6,0.6,Active,Proud,Very Smart
"Active, Proud, Very Smart",7.0,38.1,38.1,18.1436948,31.751465900000003,10.0,18.0,Non-Sporting Group,1.0,0.2,0.6,1.0,0.8,Active,Proud,Very Smart
"Agile, Intelligent, Self-Confident",7.0,25.4,25.4,1.81436948,2.72155422,10.0,18.0,Toy Group,1.0,0.2,0.6,1.0,0.8,Agile,Intelligent,Self-Confident
"Independent, Energetic, Powerful",96.0,55.88,58.42,24.947580350000003,28.12272694,12.0,13.0,Foundation Stock Service,0.2,0.6,0.8,0.6,0.6,Independent,Energetic,Powerful
"Independent, Alert, Intelligent",96.0,40.64,71.12,15.875732950000002,29.937096420000003,10.0,12.0,Miscellaneous Class,0.4,0.8,0.8,0.6,0.4,Independent,Alert,Intelligent
"Playful, Charming, Lively",154.0,20.32,30.48,4.082331330000001,5.8967008100000005,12.0,15.0,Hound Group,0.4,0.6,0.8,0.6,0.8,Playful,Charming,Lively
"Affectionate, Smart, Energetic",96.0,52.07,55.88,15.875732950000002,26.76194983,14.0,14.0,Foundation Stock Service,0.2,0.4,0.8,1.0,0.8,Affectionate,Smart,Energetic
"Intelligent, Devoted, Lively",96.0,41.91,54.61,17.009713875,26.76194983,12.0,13.0,Foundation Stock Service,0.4,0.4,0.8,0.6,0.4,Intelligent,Devoted,Lively
"Affectionate, Adventurous, Athletic",50.0,43.18,58.42,15.875732950000002,27.2155422,11.0,13.0,Working Group,0.8,0.6,0.8,0.8,0.6,Affectionate,Adventurous,Athletic
"Friendly, Smart, Willing to Please",96.0,55.88,66.04,20.41165665,31.751465900000003,14.0,14.0,Foundation Stock Service,0.2,0.6,0.6,0.6,0.4,Friendly,Smart,Willing to Please
"Charming, Mischievous, Loving",28.0,25.4,33.02,6.35029318,8.164662660000001,13.0,15.0,Toy Group,0.4,0.8,0.6,0.6,0.8,Charming,Mischievous,Loving
"Loyal, Smart, Home-Loving",160.0,40.64,43.18,11.33980925,15.875732950000002,10.0,15.0,Herding Group,1.0,0.2,0.6,0.4,0.4,Loyal,Smart,Home-Loving
"Energetic, Lively, Ready to Work",151.0,38.1,46.99,9.97903214,13.15417873,12.0,13.0,Herding Group,0.2,0.2,0.8,0.8,0.6,Energetic,Lively,Ready to Work
"Gentle, Brave, Noble",96.0,63.5,78.74,54.4310844,108.8621688,10.0,13.0,Foundation Stock Service,0.6,0.6,0.4,0.6,0.4,Gentle,Brave,Noble
"Affectionate, Active, Enthusiastic",181.0,38.1,53.34,6.80388555,13.6077711,0.0,0.0,Herding Group,0.4,0.6,0.8,0.6,0.4,Affectionate,Active,Enthusiastic
"Confident, Calm, Powerful",96.0,63.5,73.66,34.926612490000004,59.874192840000006,12.0,14.0,Foundation Stock Service,0.4,0.6,0.4,0.6,0.4,Confident,Calm,Powerful
"Friendly, Inquisitive, Lovable",86.0,25.4,45.72,4.535923700000001,11.33980925,12.0,18.0,Terrier Group,0.4,0.6,0.6,0.8,0.8,Friendly,Inquisitive,Lovable
"Even-Tempered, Amiable, Eager to Please",142.0,53.34,68.58,20.41165665,31.751465900000003,12.0,15.0,Hound Group,0.4,0.6,0.6,0.8,0.8,Even-Tempered,Amiable,Eager to Please
"Affectionate, Dignified, Even-Tempered",41.0,60.96,68.58,31.751465900000003,38.55535145,10.0,10.0,Hound Group,0.4,0.6,0.6,0.4,0.6,Affectionate,Dignified,Even-Tempered
"Loyal, Independent, Confident Guardian",96.0,57.15,73.66,45.359237,58.9670081,12.0,14.0,Foundation Stock Service,0.4,0.4,0.6,0.4,0.2,Loyal,Independent,Confident Guardian
"Loyal, Loving, Confident Guardian",8.0,55.88,68.58,36.2873896,61.23496995,9.0,10.0,Working Group,0.4,0.6,0.6,0.6,0.4,Loyal,Loving,Confident Guardian
"Alert, Inquisitive, Lively",82.0,25.4,30.48,4.082331330000001,6.80388555,12.0,14.0,Terrier Group,0.4,0.4,1.0,0.6,0.8,Alert,Inquisitive,Lively
"Loyal, Smart, Charming",96.0,20.32,27.94,2.948350405,2.948350405,12.0,14.0,Miscellaneous Class,0.4,0.2,0.6,0.6,0.8,Loyal,Smart,Charming
"Playful, Charming, Inquisitive",96.0,22.86,25.4,2.0411656650000003,4.9895160700000005,12.0,16.0,Foundation Stock Service,0.6,0.2,0.6,0.6,0.8,Playful,Charming,Inquisitive
"Playful, Charming, Inquisitive",48.0,66.04,76.2,54.4310844,81.6466266,8.0,10.0,Working Group,0.4,0.6,0.6,0.6,0.8,Playful,Charming,Inquisitive
"Gentle, Dignified, Independent-Minded",120.0,58.42,71.12,18.1436948,29.48350405,10.0,17.0,Hound Group,0.2,0.4,0.8,0.4,0.4,Gentle,Dignified,Independent-Minded
"Adaptable, Friendly, Gentle",59.0,48.26,59.69,15.875732950000002,29.48350405,12.0,14.0,Working Group,0.6,0.6,0.8,0.4,0.8,Adaptable,Friendly,Gentle
"Friendly, Watchful, Lively",96.0,40.64,50.8,11.79340162,24.947580350000003,12.0,15.0,Foundation Stock Service,0.4,0.6,0.6,0.8,0.6,Friendly,Watchful,Lively
"Confident, Alert, Curious",105.0,25.4,33.02,4.535923700000001,7.25747792,12.0,14.0,Non-Sporting Group,0.4,0.6,0.8,0.4,0.6,Confident,Alert,Curious
"Gentle, Dignified, Polite",158.0,71.12,81.28,34.01942775,49.895160700000005,8.0,11.0,Hound Group,0.2,0.6,0.6,0.4,0.6,Gentle,Dignified,Polite
"Confident, Independent, Spirited",57.0,25.4,25.4,8.164662660000001,9.97903214,12.0,12.0,Terrier Group,0.6,0.4,0.6,0.4,0.6,Confident,Independent,Spirited
"Alert, Outgoing, Sense Of Humor",164.0,26.67,26.67,10.43262451,10.88621688,12.0,14.0,Terrier Group,0.6,0.6,0.6,0.4,0.6,Alert,Outgoing,Sense Of Humor
"Friendly, Intelligent, Eager to Please",96.0,48.26,58.42,18.1436948,27.2155422,11.0,13.0,Foundation Stock Service,0.4,0.6,0.6,1.0,0.4,Friendly,Intelligent,Eager to Please
"Playful, Energetic, Bright",25.0,33.02,40.64,6.80388555,11.33980925,12.0,14.0,Herding Group,0.6,0.6,0.6,1.0,0.4,Playful,Energetic,Bright
"Alert, Active, Attentive",44.0,34.29,41.91,7.71107029,10.43262451,13.0,16.0,Non-Sporting Group,0.4,0.6,0.6,0.4,0.4,Alert,Active,Attentive
"Affectionate, Playful, Outgoing",20.0,22.86,26.67,4.082331330000001,7.25747792,10.0,18.0,Toy Group,0.8,0.2,0.6,0.6,0.8,Affectionate,Playful,Outgoing
"Energetic, Alert, Enthusiastic",96.0,43.18,55.88,15.875732950000002,24.947580350000003,10.0,12.0,Foundation Stock Service,0.4,0.6,0.6,0.6,0.4,Energetic,Alert,Enthusiastic
"Loyal, Mischievous, Outgoing",14.0,50.8,59.69,15.875732950000002,27.2155422,12.0,14.0,Working Group,0.4,0.6,0.8,0.4,0.8,Loyal,Mischievous,Outgoing
"Friendly, Quick, Keenly Alert",112.0,22.86,25.4,4.535923700000001,4.535923700000001,13.0,15.0,Toy Group,0.6,0.4,0.6,0.6,0.6,Friendly,Quick,Keenly Alert
"Courageous, Good-Tempered, Canny",178.0,24.13,25.4,15.875732950000002,20.41165665,12.0,14.0,Terrier Group,0.8,0.6,0.6,0.4,0.4,Courageous,Good-Tempered,Canny
"Reserved, Graceful, Noble",192.0,60.96,73.66,15.875732950000002,22.6796185,10.0,15.0,Hound Group,0.4,0.2,0.6,0.4,0.4,Reserved,Graceful,Noble
"Friendly, Smart, Willing to Please",96.0,57.15,67.31,22.6796185,29.48350405,12.0,15.0,Foundation Stock Service,0.2,0.4,0.8,0.4,1.0,Friendly,Smart,Willing to Please
"Courageous, Alert, Faithful",96.0,58.42,69.85,30.84428116,43.99845989,11.0,13.0,Foundation Stock Service,0.4,0.8,0.4,0.6,0.4,Courageous,Alert,Faithful
"Courageous, Alert, Determined",96.0,40.64,50.8,14.968548210000002,19.95806428,12.0,13.0,Foundation Stock Service,0.2,0.6,0.6,0.6,0.4,Courageous,Alert,Determined
"Intelligent, Devoted, Self-Confident",96.0,52.07,53.34,18.1436948,27.2155422,12.0,14.0,Foundation Stock Service,0.2,0.6,1.0,0.6,0.8,Intelligent,Devoted,Self-Confident
"Friendly, Independent, Amusing",123.0,38.1,38.1,6.80388555,8.164662660000001,12.0,15.0,Terrier Group,0.4,0.4,0.8,0.6,0.8,Friendly,Independent,Amusing
"Friendly, Happy, Deeply Devoted",53.0,43.18,48.26,13.6077711,18.1436948,12.0,14.0,Terrier Group,0.6,0.2,0.8,0.4,0.6,Friendly,Happy,Deeply Devoted
"Affectionate, Intelligent, Kind",96.0,71.12,88.9,63.502931800000006,90.718474,10.0,12.0,Foundation Stock Service,0.4,0.6,0.4,0.6,0.4,Affectionate,Intelligent,Kind
Playful but also Work-Oriented. Very Active and Upbeat.,153.0,40.005,50.165,14.06136347,22.22602613,12.0,14.0,Herding Group,1.0,0.2,0.8,1.0,0.4,Playful but also Work-Oriented. Very Active and Upbeat.,Unknown,Unknown
"Sociable, Patient, Docile",109.0,55.88,68.58,19.95806428,29.48350405,10.0,12.0,Sporting Group,0.4,0.6,0.8,0.6,0.6,Sociable,Patient,Docile
"Intelligent, Responsive, Loving",96.0,48.26,53.34,18.1436948,27.2155422,13.0,15.0,Foundation Stock Service,0.2,0.6,0.8,0.8,0.6,Intelligent,Responsive,Loving
"Clever, Brave, Tenacious",80.0,35.56,40.64,10.88621688,17.23651006,12.0,14.0,Terrier Group,0.4,0.4,0.8,0.2,0.8,Clever,Brave,Tenacious
"Fearless, Smart, Spirited",89.0,44.45,49.53,13.6077711,22.6796185,13.0,16.0,Working Group,0.6,0.2,0.6,0.4,0.8,Fearless,Smart,Spirited
"Friendly, Merry, Even-Tempered",180.0,33.02,38.1,15.875732950000002,20.41165665,13.0,15.0,Sporting Group,0.6,0.6,0.6,0.4,0.4,Friendly,Merry,Even-Tempered
"Playful, Intelligent, Lively",96.0,40.64,50.8,13.6077711,20.41165665,12.0,14.0,Foundation Stock Service,0.4,0.6,0.6,0.2,0.6,Playful,Intelligent,Lively
"Friendly, Energetic, Watchful",169.0,29.21,34.925,9.0718474,15.875732950000002,12.0,15.0,Herding Group,0.2,0.6,1.0,1.0,0.8,Friendly,Energetic,Watchful
"Loyal, Versatile, Intelligent",96.0,43.18,50.8,11.79340162,18.1436948,9.0,13.0,Foundation Stock Service,0.4,0.6,1.0,0.8,0.4,Loyal,Versatile,Intelligent
"Playful, Versatile, Intelligent",96.0,20.32,38.1,3.62873896,11.33980925,14.0,16.0,Miscellaneous Class,0.4,0.6,0.8,1.0,0.8,Playful,Versatile,Intelligent
"Loyal, Independent, Agile",96.0,50.8,60.96,15.875732950000002,34.01942775,12.0,13.0,Foundation Stock Service,0.2,0.6,0.8,0.4,0.4,Loyal,Independent,Agile
"Independent, Reserved, Intelligent",131.0,60.96,66.04,31.751465900000003,68.0388555,10.0,12.0,Working Group,0.6,0.6,0.6,0.4,0.6,Independent,Reserved,Intelligent
"Playful, Bright, Self-Confident",119.0,25.4,25.4,4.082331330000001,6.80388555,12.0,15.0,Non-Sporting Group,0.4,0.6,0.4,0.6,0.6,Playful,Bright,Self-Confident
"Affectionate, Loyal, Sensitive",96.0,35.56,43.18,8.164662660000001,13.6077711,15.0,16.0,Non-Sporting Group,0.6,0.6,0.8,0.4,0.4,Affectionate,Loyal,Sensitive
"Friendly, Courageous, Intelligent",96.0,58.42,71.12,28.12272694,49.895160700000005,12.0,14.0,Foundation Stock Service,0.4,0.6,0.6,0.8,0.6,Friendly,Courageous,Intelligent
"Fearless, Patient, Vigilant",96.0,54.61,59.69,45.359237,90.718474,10.0,12.0,Foundation Stock Service,0.2,0.4,0.4,0.6,0.4,Fearless,Patient,Vigilant
"Friendly, Alert, Intelligent",111.0,21.59,29.21,1.587573295,3.17514659,13.0,15.0,Toy Group,0.4,0.4,0.8,1.0,0.8,Friendly,Alert,Intelligent
"Courageous, Good-Natured, Determined",96.0,55.88,66.04,24.947580350000003,24.947580350000003,10.0,14.0,Foundation Stock Service,0.4,0.6,1.0,0.2,0.4,Courageous,Good-Natured,Determined
"Friendly, Alert, Intelligent",96.0,40.64,60.96,13.6077711,22.6796185,10.0,12.0,Foundation Stock Service,0.4,0.4,0.6,0.6,0.4,Friendly,Alert,Intelligent
"Smart, Brave, Courteous",137.0,50.8,68.58,22.6796185,31.751465900000003,12.0,13.0,Hound Group,0.2,0.6,0.6,0.4,0.8,Smart,Brave,Courteous
"Affectionate, Gentle, Energetic",31.0,53.34,60.96,19.95806428,27.2155422,12.0,14.0,Sporting Group,0.4,0.6,0.8,1.0,0.8,Affectionate,Gentle,Energetic
"Friendly, Fearless, Obedient",36.0,58.42,68.58,24.947580350000003,40.8233133,10.0,13.0,Sporting Group,0.4,0.6,1.0,1.0,0.8,Friendly,Fearless,Obedient
"Happy, Reserved, Upbeat",128.0,43.18,48.26,15.875732950000002,24.947580350000003,12.0,15.0,Sporting Group,0.4,0.6,0.8,0.8,0.8,Happy,Reserved,Upbeat
"Friendly, Spirited, Intelligent",107.0,38.1,38.1,9.0718474,9.0718474,12.0,15.0,Terrier Group,0.6,0.4,0.8,0.6,1.0,Friendly,Spirited,Intelligent
"Loyal, Happy, Entertaining",42.0,25.4,27.94,6.80388555,9.0718474,13.0,15.0,Terrier Group,0.8,0.6,0.6,0.6,0.8,Loyal,Happy,Entertaining
"Loyal, Good-Natured, Intelligent",96.0,12.7,58.42,22.6796185,34.01942775,13.0,13.0,Foundation Stock Service,0.2,0.4,0.6,0.2,0.4,Loyal,Good-Natured,Intelligent
"Affectionate, Playful, Calm",61.0,45.72,55.88,11.33980925,18.1436948,12.0,15.0,Hound Group,0.2,0.4,0.6,0.4,0.4,Affectionate,Playful,Calm
"Confident, Alert, Gregarious",101.0,38.1,38.1,6.80388555,8.164662660000001,12.0,15.0,Terrier Group,0.4,0.2,0.6,0.6,0.6,Confident,Alert,Gregarious
"Friendly, Devoted, Trainable",65.0,50.8,60.96,15.875732950000002,31.751465900000003,12.0,15.0,Sporting Group,0.4,0.6,1.0,0.6,0.6,Friendly,Devoted,Trainable
"Gentle, Loyal, Trainable",167.0,54.61,63.5,20.41165665,29.48350405,12.0,14.0,Sporting Group,0.2,0.6,0.8,0.6,0.6,Gentle,Loyal,Trainable
"Alert, Eager, Intelligent",96.0,48.26,63.5,12.70058636,27.2155422,12.0,15.0,Foundation Stock Service,0.2,0.6,0.8,0.4,0.6,Alert,Eager,Intelligent
"Loyal, Alert, Calm",140.0,25.4,58.42,4.535923700000001,24.947580350000003,13.0,18.0,Non-Sporting Group,0.2,0.2,0.8,0.6,0.6,Loyal,Alert,Calm
"Affectionate, Intelligent, Active",96.0,53.34,58.42,18.1436948,24.947580350000003,10.0,12.0,Foundation Stock Service,0.4,0.6,0.8,0.2,0.4,Affectionate,Intelligent,Active
"Affectionate, Sprightly, Tomboyish",10.0,17.78,20.32,3.17514659,3.17514659,11.0,15.0,Toy Group,1.0,0.2,0.6,0.2,0.8,Affectionate,Sprightly,Tomboyish
